date		time	cpu
1.69908E+12	45234.60301	2023-11-04 14:28:20	0.559014944
1.69908E+12	45234.60324	2023-11-04 14:28:40	1.835324891
1.69908E+12	45234.60347	2023-11-04 14:29:00	0.110063104
1.69908E+12	45234.6037	2023-11-04 14:29:20	0.024641073
1.69908E+12	45234.60394	2023-11-04 14:29:40	0.064319175
1.69908E+12	45234.60417	2023-11-04 14:30:00	0.048229128
1.69908E+12	45234.6044	2023-11-04 14:30:20	0.043657865
1.69908E+12	45234.60463	2023-11-04 14:30:40	0.01175925
1.69908E+12	45234.60486	2023-11-04 14:31:00	1.057886286
1.69908E+12	45234.60509	2023-11-04 14:31:20	2.047474101
1.69908E+12	45234.60532	2023-11-04 14:31:40	1.703743244
1.69908E+12	45234.60556	2023-11-04 14:32:00	1.262180163
1.69908E+12	45234.60579	2023-11-04 14:32:20	1.006669151
1.69908E+12	45234.60602	2023-11-04 14:32:40	0.657116742
1.69908E+12	45234.60625	2023-11-04 14:33:00	0.684880691
1.69908E+12	45234.60648	2023-11-04 14:33:20	0.245947453
1.69908E+12	45234.60671	2023-11-04 14:33:40	0.435760018
1.69908E+12	45234.60694	2023-11-04 14:34:00	0.408574362
1.69908E+12	45234.60718	2023-11-04 14:34:20	0.337188989
1.69908E+12	45234.60741	2023-11-04 14:34:40	0.356021023
1.69908E+12	45234.60764	2023-11-04 14:35:00	0.344035751
1.69908E+12	45234.60787	2023-11-04 14:35:20	0.364855575
1.69908E+12	45234.6081	2023-11-04 14:35:40	0.161061756
1.69908E+12	45234.60833	2023-11-04 14:36:00	0.359532815
1.69908E+12	45234.60856	2023-11-04 14:36:20	0.371607059
1.69908E+12	45234.6088	2023-11-04 14:36:40	0.344963609
1.69908E+12	45234.60903	2023-11-04 14:37:00	0.355733379
1.69908E+12	45234.60926	2023-11-04 14:37:20	0.36941883
1.69908E+12	45234.60949	2023-11-04 14:37:40	0.353686956
1.69908E+12	45234.60972	2023-11-04 14:38:00	0.31907681
1.69908E+12	45234.60995	2023-11-04 14:38:20	0.34845644
1.69908E+12	45234.61019	2023-11-04 14:38:40	0.348318195
1.69908E+12	45234.61042	2023-11-04 14:39:00	0.186261005
1.69908E+12	45234.61065	2023-11-04 14:39:20	0.188423121
1.69908E+12	45234.61088	2023-11-04 14:39:40	0.178756146
1.69908E+12	45234.61111	2023-11-04 14:40:00	0.164939323
1.69908E+12	45234.61134	2023-11-04 14:40:20	0.178210282
1.69908E+12	45234.61157	2023-11-04 14:40:40	0.347711132
1.69908E+12	45234.61181	2023-11-04 14:41:00	0.352745564
1.69908E+12	45234.61204	2023-11-04 14:41:20	0.118390655
1.69908E+12	45234.61227	2023-11-04 14:41:40	0.268174151
1.69908E+12	45234.6125	2023-11-04 14:42:00	0.351832955
1.69908E+12	45234.61273	2023-11-04 14:42:20	0.164313532
1.69908E+12	45234.61296	2023-11-04 14:42:40	0.294474083
1.69908E+12	45234.61319	2023-11-04 14:43:00	0.253251358
1.69908E+12	45234.61343	2023-11-04 14:43:20	0.321646079
1.69908E+12	45234.61366	2023-11-04 14:43:40	0.330631229
1.69908E+12	45234.61389	2023-11-04 14:44:00	0.323172122
1.69908E+12	45234.61412	2023-11-04 14:44:20	0.148830334
1.69908E+12	45234.61435	2023-11-04 14:44:40	0.332014065
1.69908E+12	45234.61458	2023-11-04 14:45:00	0.250909606
1.69908E+12	45234.61481	2023-11-04 14:45:20	0.357330527
1.69908E+12	45234.61505	2023-11-04 14:45:40	0.355908027
1.69908E+12	45234.61528	2023-11-04 14:46:00	0.320803342
1.69908E+12	45234.61551	2023-11-04 14:46:20	0.269747806
1.69908E+12	45234.61574	2023-11-04 14:46:40	0.292636631
1.69908E+12	45234.61597	2023-11-04 14:47:00	0.324034482
